Business Type,Business Type ID,Required Documents
Medical Office,BT_MEDICAL_OFFICE,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Dental Office,BT_DENTAL_OFFICE,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Pharmacy,BT_PHARMACY,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Clinical Laboratory,BT_CLINICAL_LABORATORY,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Mental Health Practice,BT_MENTAL_HEALTH_PRACTICE,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Physical Therapy Clinic,BT_PHYSICAL_THERAPY_CLINIC,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Veterinary Clinic,BT_VETERINARY_CLINIC,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Urgent Care Center,BT_URGENT_CARE_CENTER,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Medical Spa,BT_MEDICAL_SPA,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Home Health Agency,BT_HOME_HEALTH_AGENCY,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Law Firm,BT_LAW_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
CPA Firm,BT_CPA_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Consulting Firm,BT_CONSULTING_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Marketing Agency,BT_MARKETING_AGENCY,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Engineering Firm,BT_ENGINEERING_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Architecture Firm,BT_ARCHITECTURE_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Notary Services,BT_NOTARY_SERVICES,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Translation Services,BT_TRANSLATION_SERVICES,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Staffing Agency,BT_STAFFING_AGENCY,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Software Company,BT_SOFTWARE_COMPANY,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
SaaS Company,BT_SAAS_COMPANY,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
IT Consulting Firm,BT_IT_CONSULTING_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Cybersecurity Firm,BT_CYBERSECURITY_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Managed Services Provider,BT_MANAGED_SERVICES_PROVIDER,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Data Analytics Firm,BT_DATA_ANALYTICS_FIRM,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Web Development Agency,BT_WEB_DEVELOPMENT_AGENCY,"Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Clothing Store,BT_CLOTHING_STORE,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Jewelry Store,BT_JEWELRY_STORE,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Electronics Store,BT_ELECTRONICS_STORE,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Furniture Store,BT_FURNITURE_STORE,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Hardware Store,BT_HARDWARE_STORE,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Convenience Store,BT_CONVENIENCE_STORE,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Pet Store,BT_PET_STORE,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Gift Shop,BT_GIFT_SHOP,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
E-commerce Business,BT_E_COMMERCE_BUSINESS,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Cosmetics Store,BT_COSMETICS_STORE,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
General Contractor,BT_GENERAL_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Electrical Contractor,BT_ELECTRICAL_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Plumbing Contractor,BT_PLUMBING_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
HVAC Contractor,BT_HVAC_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Roofing Contractor,BT_ROOFING_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Concrete Contractor,BT_CONCRETE_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Landscaping Company,BT_LANDSCAPING_COMPANY,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Specialty Trade Contractor,BT_SPECIALTY_TRADE_CONTRACTOR,"Certificate of Incorporation, Commercial Vehicle Registration, Contractor License, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Transportation / PUC Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Hotel,BT_HOTEL,"Alcohol Beverage License, Certificate of Incorporation, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Tourism Registration, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Resort,BT_RESORT,"Alcohol Beverage License, Certificate of Incorporation, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Tourism Registration, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Guest House,BT_GUEST_HOUSE,"Alcohol Beverage License, Certificate of Incorporation, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Tourism Registration, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Airbnb / Short-Term Rental,BT_AIRBNB_SHORT_TERM_RENTAL,"Alcohol Beverage License, Certificate of Incorporation, Fire Safety Certification (Certificado de Bomberos), Health / Sanitary Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Tourism Registration, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Tour Operator,BT_TOUR_OPERATOR,"Alcohol Beverage License, Certificate of Incorporation, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Tourism Registration, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Excursion Company,BT_EXCURSION_COMPANY,"Alcohol Beverage License, Certificate of Incorporation, Environmental Permit, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Tourism Registration, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Car Rental Business,BT_CAR_RENTAL_BUSINESS,"Alcohol Beverage License, Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Tourism Registration, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Travel Agency,BT_TRAVEL_AGENCY,"Alcohol Beverage License, Certificate of Incorporation, IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Tourism Registration, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Beauty Salon,BT_BEAUTY_SALON,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Barbershop,BT_BARBERSHOP,"Alcohol Beverage License, Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Nail Salon,BT_NAIL_SALON,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Spa,BT_SPA,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Massage Therapy Studio,BT_MASSAGE_THERAPY_STUDIO,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Tattoo Shop,BT_TATTOO_SHOP,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Esthetics Studio,BT_ESTHETICS_STUDIO,"Certificate of Incorporation, Health / Sanitary Permit, IRS EIN Confirmation Letter, Medical Waste Management Permit, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Professional License, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Food Manufacturing,BT_FOOD_MANUFACTURING,"Certificate of Incorporation, Environmental Permit, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Pharmaceutical Manufacturing,BT_PHARMACEUTICAL_MANUFACTURING,"Certificate of Incorporation, Environmental Permit, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Medical Device Manufacturing,BT_MEDICAL_DEVICE_MANUFACTURING,"Certificate of Incorporation, Environmental Permit, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Textile Manufacturing,BT_TEXTILE_MANUFACTURING,"Certificate of Incorporation, Environmental Permit, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
Furniture Manufacturing,BT_FURNITURE_MANUFACTURING,"Certificate of Incorporation, Environmental Permit, Fire Safety Certification (Certificado de Bomberos), IRS EIN Confirmation Letter, Merchant Registration Certificate (Registro de Comerciante), Municipal Registration, Municipal Tax Compliance Certificate, Patente Municipal, Permiso Único, Sign / Rótulo Permit, Workers Compensation Insurance (CFSE), Zoning / Use Certification"
